"0","647"
"1","64"
"2","55"
"3","40"
"4","35"
"5","34"
"6","37"
"7","34"
"8","44"
"9","39"
"10","34"
"11","39"
"12","36"
"13","34"
"14","33"
"15","34"
"16","37"
"17","33"
"18","33"
"19","34"
"20","36"
"21","33"
"22","33"
"23","39"
"24","35"
"25","42"
"26","39"
"27","33"
"28","37"
"29","38"
"30","36"
"31","32"
"32","35"
"33","35"
"34","34"
"35","39"
"36","35"
"37","33"
"38","36"
"39","33"
"40","34"
"41","34"
"42","34"
"43","33"
"44","34"
"45","32"
"46","34"
"47","35"
"48","33"
"49","36"
"50","33"
"51","33"
"52","32"
"53","35"
"54","33"
"55","33"
"56","33"
"57","33"
"58","33"
"59","34"
"60","35"
"61","32"
"62","33"
"63","35"
"64","34"
"65","34"
"66","33"
"67","34"
"68","34"
"69","31"
"70","35"
"71","34"
"72","32"
"73","34"
"74","33"
"75","34"
"76","34"
"77","34"
"78","33"
"79","33"
"80","37"
"81","34"
"82","31"
"83","32"
"84","34"
"85","34"
"86","31"
"87","38"
"88","76"
"89","106"
"90","81"
"91","76"
"92","76"
"93","78"
"94","76"
"95","77"
"96","76"
"97","76"
"98","78"
"99","75"
"100","76"
"101","68"
"102","93"
"103","77"
"104","77"
"105","76"
"106","75"
"107","78"
"108","78"
"109","74"
"110","80"
"111","76"
"112","77"
"113","77"
"114","77"
"115","76"
"116","76"
"117","78"
"118","80"
"119","94"
"120","149"
"121","148"
"122","104"
"123","73"
"124","77"
"125","75"
"126","75"
"127","76"
"128","78"
"129","77"
"130","77"
"131","76"
"132","75"
"133","79"
"134","76"
"135","78"
"136","84"
"137","79"
"138","79"
"139","78"
"140","73"
"141","79"
"142","77"
"143","75"
"144","75"
"145","75"
"146","80"
"147","78"
"148","75"
"149","76"
"150","77"
"151","75"
"152","75"
"153","77"
"154","77"
"155","77"
"156","77"
"157","76"
"158","76"
"159","76"
"160","76"
"161","78"
"162","75"
"163","76"
"164","77"
"165","75"
"166","75"
"167","77"
"168","77"
"169","79"
"170","74"
"171","77"
"172","76"
"173","76"
"174","77"
"175","76"
"176","97"
"177","152"
"178","118"
"179","95"
"180","95"
"181","87"
"182","104"
"183","82"
"184","79"
"185","87"
"186","85"
"187","81"
"188","79"
"189","87"
"190","80"
"191","81"
"192","82"
"193","80"
"194","85"
"195","80"
"196","90"
"197","84"
"198","80"
"199","80"
"200","87"
"201","80"
"202","79"
"203","80"
"204","82"
"205","82"
"206","79"
"207","102"
"208","89"
"209","86"
"210","80"
"211","96"
"212","80"
"213","80"
"214","81"
"215","81"
"216","85"
"217","86"
"218","70"
"219","76"
"220","78"
"221","76"
"222","76"
"223","77"
"224","75"
"225","76"
"226","77"
"227","76"
"228","76"
"229","75"
"230","74"
"231","69"
"232","66"
"233","60"
"234","49"
"235","35"
"236","38"
